date,timetable,max,min,range,range-trail,range-avg,open,long-close,short-close,close,long-rst,short-rst,long-acc,short-acc
2014-01-17,15:00-22:30,16435.0,16336.0,99.0,130.0,146.04581358609795,16350.0,16396.0,16396.0,16396.0,46.0,-46.0,1673.0,-1944.0
2014-01-21,15:00-22:30,16489.0,16253.0,236.0,130.0,146.04581358609795,16389.0,16359.0,16383.0,16352.0,-30.0,6.0,1643.0,-1938.0
2014-01-22,15:00-22:30,16362.0,16274.0,88.0,130.0,146.04581358609795,16336.0,16320.0,16320.0,16320.0,-16.0,16.0,1627.0,-1922.0
2014-01-23,15:00-22:30,16219.0,16078.0,141.0,130.0,146.04581358609795,16206.0,16089.0,16148.0,16148.0,-117.0,58.0,1510.0,-1864.0
2014-01-24,15:00-22:30,16070.0,15806.0,264.0,130.0,146.04581358609795,16070.0,15940.0,15812.0,15812.0,-130.0,258.0,1380.0,-1606.0
2014-01-27,15:00-22:30,15881.0,15722.0,159.0,130.0,146.04581358609795,15867.0,15747.0,15852.0,15786.0,-120.0,15.0,1260.0,-1591.0
2014-01-28,15:00-22:30,15886.0,15796.0,90.0,130.0,146.04581358609795,15847.0,15874.0,15874.0,15874.0,27.0,-27.0,1287.0,-1618.0
2014-01-29,15:00-22:30,15793.0,15643.0,150.0,130.0,146.04581358609795,15758.0,15663.0,15701.0,15701.0,-95.0,57.0,1192.0,-1561.0
2014-01-30,15:00-22:30,15846.0,15706.0,140.0,130.0,146.04581358609795,15772.0,15734.0,15836.0,15734.0,-38.0,-64.0,1154.0,-1625.0
2014-01-31,15:00-22:30,15738.0,15552.0,186.0,130.0,146.04581358609795,15573.0,15651.0,15682.0,15651.0,78.0,-109.0,1232.0,-1734.0
2014-02-03,15:00-22:30,15650.0,15280.0,370.0,130.0,146.04581358609795,15640.0,15520.0,15291.0,15291.0,-120.0,349.0,1112.0,-1385.0
2014-02-04,15:00-22:30,15417.0,15292.0,125.0,130.0,146.04581358609795,15371.0,15339.0,15339.0,15339.0,-32.0,32.0,1080.0,-1353.0
2014-02-05,15:00-22:30,15415.0,15276.0,139.0,130.0,146.04581358609795,15342.0,15281.0,15406.0,15373.0,-61.0,-64.0,1019.0,-1417.0
2014-02-06,15:00-22:30,15577.0,15398.0,179.0,130.0,146.04581358609795,15408.0,15556.0,15528.0,15556.0,148.0,-120.0,1167.0,-1537.0
2014-02-07,15:00-22:30,15744.0,15567.0,177.0,130.0,146.04581358609795,15630.0,15740.0,15697.0,15740.0,110.0,-67.0,1277.0,-1604.0
2014-02-10,15:00-22:30,15744.0,15675.0,69.0,130.0,146.04581358609795,15726.0,15738.0,15738.0,15738.0,12.0,-12.0,1289.0,-1616.0
2014-02-11,15:00-22:30,15972.0,15749.0,223.0,130.0,146.04581358609795,15765.0,15933.0,15879.0,15933.0,168.0,-114.0,1457.0,-1730.0
2014-02-12,15:00-22:30,16008.0,15897.0,111.0,130.0,146.04581358609795,15940.0,15941.0,15941.0,15941.0,1.0,-1.0,1458.0,-1731.0
2014-02-13,15:00-22:30,16012.0,15825.0,187.0,130.0,146.04581358609795,15852.0,15977.0,15955.0,15977.0,125.0,-103.0,1583.0,-1834.0
2014-02-14,15:00-22:30,16148.0,15952.0,196.0,130.0,146.04581358609795,15982.0,16128.0,16082.0,16128.0,146.0,-100.0,1729.0,-1934.0
2014-02-18,15:00-22:30,16165.0,16077.0,88.0,130.0,146.04581358609795,16155.0,16107.0,16107.0,16107.0,-48.0,48.0,1681.0,-1886.0
2014-02-19,15:00-22:30,16201.0,16004.0,197.0,130.0,146.04581358609795,16074.0,16071.0,16188.0,16014.0,-3.0,-114.0,1678.0,-2000.0
2014-02-20,15:00-22:30,16137.0,15976.0,161.0,130.0,146.04581358609795,16022.0,16097.0,16106.0,16097.0,75.0,-84.0,1753.0,-2084.0
2014-02-21,15:00-22:30,16171.0,16072.0,99.0,130.0,146.04581358609795,16116.0,16090.0,16090.0,16090.0,-26.0,26.0,1727.0,-2058.0
2014-02-24,15:00-22:30,16281.0,16102.0,179.0,130.0,146.04581358609795,16114.0,16188.0,16232.0,16188.0,74.0,-118.0,1801.0,-2176.0
2014-02-25,15:00-22:30,16235.0,16122.0,113.0,130.0,146.04581358609795,16175.0,16187.0,16187.0,16187.0,12.0,-12.0,1813.0,-2188.0
2014-02-26,15:00-22:30,16236.0,16135.0,101.0,130.0,146.04581358609795,16200.0,16175.0,16175.0,16175.0,-25.0,25.0,1788.0,-2163.0
2014-02-27,15:00-22:30,16276.0,16145.0,131.0,130.0,146.04581358609795,16170.0,16272.0,16275.0,16272.0,102.0,-105.0,1890.0,-2268.0
2014-02-28,15:00-22:30,16388.0,16210.0,178.0,130.0,146.04581358609795,16261.0,16258.0,16374.0,16328.0,-3.0,-113.0,1887.0,-2381.0
2014-03-03,15:00-22:30,16219.0,16058.0,161.0,130.0,146.04581358609795,16182.0,16089.0,16147.0,16147.0,-93.0,35.0,1794.0,-2346.0
2014-03-04,15:00-22:30,16409.0,16308.0,101.0,130.0,146.04581358609795,16313.0,16383.0,16383.0,16383.0,70.0,-70.0,1864.0,-2416.0
2014-03-05,15:00-22:30,16393.0,16330.0,63.0,130.0,146.04581358609795,16383.0,16354.0,16354.0,16354.0,-29.0,29.0,1835.0,-2387.0
2014-03-06,15:00-22:30,16439.0,16379.0,60.0,130.0,146.04581358609795,16380.0,16416.0,16416.0,16416.0,36.0,-36.0,1871.0,-2423.0
2014-03-07,15:00-22:30,16502.0,16389.0,113.0,130.0,146.04581358609795,16500.0,16449.0,16449.0,16449.0,-51.0,51.0,1820.0,-2372.0
